id,name,nationality,city,latitude,longitude,gender,ethnic.group,age,english.grade,math.grade,sciences.grade,language.grade,portfolio.rating,coverletter.rating,refletter.rating
240,Rylee Onstott,United States of America,Los Angeles,34.05,-118.24,other,,21,4.0,3.8,3.8,5.0,5,5.0,3
143,Savannah Kivett,United States of America,Colorado Springs,38.83,-104.82,F,,21,3.8,3.9,3.8,5.0,4,4.0,5
253,Ronald Toth,United States of America,Los Angeles,34.05,-118.24,M,,23,2.7,3.5,3.7,5.0,4,3.0,4
76,Sourinthone Tran,China,Wuhan,30.58,114.27,M,,21,3.5,3.9,3.4,4.0,4,4.0,5
113,Bryce Vaillancourt,United States of America,Pomona,34.06,-117.75,M,,22,3.7,3.8,2.1,5.0,4,5.0,4
59,Shuraih el-Karim,Pakistan,Khalabat,34.06,72.89,M,,22,3.1,2.1,2.3,4.0,4,4.0,4
249,Terri Mergelman,United States of America,Los Angeles,34.05,-118.24,F,,23,2.7,3.9,3.0,5.0,4,4.0,4
6,Joey Abreu,China,Shenyang,41.79,123.43,M,,22,3.7,3.9,3.6,2.0,5,5.0,5
181,Addie Villavicencio,United States of America,San Jose,37.34,-121.89,F,,20,4.0,3.5,3.2,5.0,5,5.0,4
30,Dakota Wirth,United States of America,Sacramento,38.58,-121.49,F,,22,3.4,3.9,3.6,5.0,3,5.0,5
22,Rachel Jambor,United States of America,Chicago,41.85,-87.65,F,,22,3.6,3.6,3.9,5.0,3,4.0,4
261,John Ferry,United States of America,Long Beach,33.77,-118.19,M,,21,3.8,2.4,3.8,5.0,4,2.0,5
56,Connor Ferry,United States of America,Charlotte,35.23,-80.84,M,,23,3.1,3.8,4.0,5.0,4,5.0,4
139,Mckenzie Haycock,Canada,Toronto,43.67,-79.42,F,,20,3.8,2.3,3.7,5.0,5,4.0,3
146,Juhaina al-Bilal,Bangladesh,Dhaka,23.72,90.41,F,,20,3.9,3.9,3.9,5.0,5,4.0,5
289,Daniel Pierce,United States of America,New York,40.71,-74.01,M,,24,3.3,2.8,3.9,5.0,5,4.0,5
242,Thomas Chanlynn,United States of America,Bay Point,38.03,-121.96,M,,22,2.4,3.0,3.8,5.0,3,4.0,3
202,Kyler Overboe,United States of America,Chicago,41.85,-87.65,M,,21,3.2,4.0,3.5,5.0,4,3.0,4
219,Kyler Grieshaber,United States of America,Cohoes,42.77,-73.7,M,,22,3.6,3.4,4.0,5.0,4,3.0,5
272,William Tierney,United States of America,New York,40.71,-74.01,M,,21,3.8,2.1,3.0,5.0,3,4.0,4
225,Darby Focken,United States of America,Hinsdale,41.8,-87.94,F,,21,3.5,2.5,3.7,5.0,4,4.0,4
116,Andrew Houghton,United States of America,Spokane,47.66,-117.42,M,,22,3.2,3.2,3.8,5.0,2,4.0,5
66,William Grevious,United States of America,Stockton,37.96,-121.29,M,,22,3.4,3.4,3.1,5.0,3,5.0,5
114,Brandilyn Collins,United States of America,Los Angeles,34.05,-118.24,F,,21,3.6,3.0,3.3,5.0,4,4.0,4
283,Jesse Carballo,Colombia,Bogotá,4.65,-74.06,M,,20,3.8,3.9,3.9,4.0,5,4.0,4
92,Airabella Koontz,United States of America,Dallas,32.78,-96.8,F,,22,2.7,3.3,3.4,5.0,4,5.0,4
19,Kyle Luckey,United States of America,Moreno Valley,33.94,-117.23,M,,23,3.7,3.9,3.4,5.0,3,4.0,4
145,Luisa Bautista,Mexico,Mexico,19.43,-99.14,F,,21,3.3,3.0,3.4,3.0,4,4.0,4
79,Macie Nguyen,Japan,Tokyo,35.69,139.75,F,,23,3.1,3.8,3.8,4.0,2,4.0,3
197,Troy White,United States of America,New York,40.71,-74.01,M,,22,4.0,3.6,3.4,5.0,4,4.0,5
125,Courtney Martinez,Mexico,Aguascalientes,21.88,-102.3,F,,20,3.7,3.7,3.7,3.0,4,5.0,5
72,Fikra al-Mina,India,Bombay,18.98,72.83,F,,21,3.1,2.4,3.3,3.0,1,5.0,4
15,Brittany Sath,Japan,Tokyo,35.69,139.75,F,,21,4.0,3.9,3.7,3.0,5,3.0,5
10,Maja Nicholson,United States of America,Dallas,32.78,-96.8,F,,23,3.4,3.5,3.2,5.0,4,2.0,5
165,Corey Rademacher,Ukraine,Chernihiv,51.51,31.28,M,,22,3.1,3.3,3.9,3.0,4,5.0,4
108,Riley Mcloughlin,United States of America,Los Angeles,34.05,-118.24,M,,23,3.6,3.6,3.3,5.0,5,4.0,4
97,William Pablo,Japan,Kashiwara,34.58,135.62,M,,24,2.9,3.3,3.1,4.0,2,5.0,4
68,Gabrielle Smith,Korea (Republic of),Seoul,37.6,126.98,F,,23,4.0,3.0,2.8,3.0,2,2.0,4
286,Michael Griffin,United States of America,New York,40.71,-74.01,M,,21,4.0,4.0,4.0,5.0,3,5.0,5
37,Katrina Saito,Japan,Tokyo,35.69,139.75,F,,22,3.8,4.0,3.7,4.0,5,4.0,5
16,Meggan Smith,United States of America,Los Angeles,34.05,-118.24,F,,21,2.9,3.4,3.6,5.0,2,5.0,4
152,Shawn O Bryan,United States of America,Fairfield,38.25,-122.04,M,,23,2.9,3.7,1.5,5.0,3,5.0,3
234,Tiffany Nguyen,Thailand,Bangkok,13.75,100.5,F,,22,3.3,3.9,3.9,2.0,5,4.0,5
277,Katie Abercrombie,United States of America,Stockton,37.96,-121.29,F,,21,3.8,3.8,3.6,5.0,3,5.0,4
67,Lindsey Job,United States of America,Los Angeles,34.05,-118.24,F,,23,2.7,3.7,1.8,5.0,4,5.0,4
109,Aimee Apelyan,United States of America,Joliet,41.52,-88.08,F,,24,3.3,3.8,3.8,5.0,4,4.0,4
69,Allison Brink-Lomme,United States of America,Portland,45.52,-122.67,F,,24,2.8,3.6,4.0,5.0,4,3.0,1
31,Lauren Klocker,United States of America,Los Angeles,34.05,-118.24,F,,22,2.3,3.9,3.8,5.0,5,3.0,4
182,Billy Jack Bestle,United States of America,Baltimore,39.29,-76.61,M,,22,3.7,4.0,3.8,5.0,5,4.0,5
229,Katherine Beatty,United States of America,Los Angeles,34.05,-118.24,F,,19,4.0,2.4,3.9,5.0,4,5.0,4
239,Kayla Sandefur,United States of America,Los Angeles,34.05,-118.24,F,,23,3.5,3.1,3.5,5.0,5,4.0,5
211,Felipe Martinez Acosta,Chile,Santiago,-33.45,-70.67,M,,21,3.7,3.7,4.0,3.0,4,3.0,5
18,David Pulc,Canada,Toronto,43.67,-79.42,M,,24,3.9,2.9,4.0,5.0,5,4.0,2
290,Michaela Schoenbeck,United States of America,Rexburg,43.83,-111.79,F,,22,3.9,4.0,3.3,5.0,5,4.0,4
96,Mateo Cisneros,Brazil,Foz do Iguaçu,-25.55,-54.58,M,,23,3.0,3.4,2.9,4.0,4,4.0,5
256,Alexandria Winter,United States of America,New York,40.71,-74.01,F,,24,3.8,3.8,2.2,5.0,5,3.0,4
132,Caitlin Dean,United States of America,Philadelphia,39.95,-75.16,F,,22,3.9,3.7,3.1,5.0,4,4.0,4
86,Myles Vaught,United States of America,Waukegan,42.36,-87.84,M,,21,3.4,3.8,3.9,5.0,3,4.0,4
259,Zaghlool al-Pasha,India,Deoria,26.5,83.79,M,,21,2.3,3.8,3.8,4.0,5,5.0,5
295,Travis Poss,United States of America,Los Angeles,34.05,-118.24,M,,23,2.3,3.0,3.5,5.0,1,5.0,5
180,Nicole Torres-Valadez,Brazil,Rio de Janeiro,-22.9,-43.23,F,,24,3.9,3.1,3.0,1.0,4,5.0,4
260,Madeline Kremke,United States of America,Montgomery Village,39.18,-77.2,F,,22,3.2,3.6,2.6,5.0,4,4.0,4
173,Sean Bruso,United Kingdom,London,51.51,-0.09,M,,19,3.2,3.7,3.9,5.0,3,5.0,4
140,Faviola Soto,Mexico,Cortazar,20.48,-100.93,F,,19,4.0,3.8,3.9,3.7,5,5.0,4
233,Joseph Hazelton,United States of America,Oakland,37.8,-122.27,M,,22,3.5,4.0,3.9,5.0,5,4.0,5
55,Georgia Williams,United States of America,Memphis,35.15,-90.05,F,,23,2.9,3.6,3.1,5.0,5,5.0,2
291,Charles Prose,United States of America,Miami,25.77,-80.19,M,,24,3.7,3.2,2.8,5.0,4,4.0,5
193,Hannah Critchfield,United States of America,New York,40.71,-74.01,F,,21,3.5,3.3,3.6,5.0,5,4.0,5
137,Charles Cramer,United States of America,East Los Angeles,34.02,-118.17,M,,23,3.1,3.5,3.8,5.0,4,5.0,4
292,Brittany Kemmerzell,United States of America,New York,40.71,-74.01,F,,23,3.2,3.4,3.7,5.0,4,5.0,3
129,Coleman Keelen,Spain,Callosa de Segura,38.12,-0.88,M,,24,3.4,4.0,3.4,4.0,4,4.0,4
38,Joshua Galloway,United States of America,New York,40.71,-74.01,M,,24,3.3,3.3,3.6,5.0,4,5.0,5
204,Aaron Knott,United States of America,Santa Ana,33.75,-117.87,M,,23,3.2,3.6,3.7,5.0,4,5.0,4
176,Surya Ky,China,Tangshan,37.33,114.7,M,,21,3.7,4.0,3.8,4.0,4,4.0,5
172,Aaqil el-Hashemi,India,Bangalore,12.98,77.58,M,,21,3.4,3.0,3.6,3.0,5,5.0,4
112,Christian Zambrano-Munoz,Mexico,Mexicali,32.65,-115.47,M,,23,3.1,3.9,3.6,4.0,4,3.0,4
175,Zahraaa el-Yousef,India,Hospet,15.27,76.4,F,,22,3.9,3.7,3.8,4.0,4,4.0,4
117,Marisa Ramey,Mexico,Mexico,19.43,-99.14,F,,22,3.2,4.0,3.8,4.0,3,3.0,4
284,Robert Podolski,United States of America,Oakland,37.8,-122.27,M,,22,3.7,3.3,2.4,5.0,4,4.0,4
278,Justin Krause,United States of America,Independence,39.09,-94.42,M,,21,3.9,2.6,2.8,5.0,3,5.0,5
203,Alexander Lizama,Brazil,Belo Horizonte,-19.92,-43.93,M,,21,3.9,3.7,3.9,3.0,4,5.0,4
184,Kimberly Thielke,United States of America,Los Angeles,34.05,-118.24,F,,21,3.8,3.9,3.3,5.0,3,5.0,5
186,Kayla Sales,United States of America,Quincy,42.25,-71.0,F,,22,2.1,3.1,4.0,5.0,5,4.0,5
2,Dakota Blanco,United States of America,Oakland,37.8,-122.27,F,,22,3.9,3.8,3.2,5.0,3,3.0,4
115,Konner Gearhart,United States of America,New York,40.71,-74.01,M,,22,3.9,3.7,3.3,5.0,4,3.0,3
